run_id,model,strategy,module,source_file,test_output_file,fn_id,function,ccm,range,mutants_total,mutants_killed,mutants_killed_by_own_tests,mutants_killed_by_other_function_tests,mutants_survived,mutants_no_coverage,mutants_timeout,mutants_compile_error,mutants_unmapped_in_module
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_updateEncounter_END,updateEncounter,9,medium,38,16,16,0,13,9,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_buildEncounterSummary_END,buildEncounterSummary,20,high,86,41,41,0,23,22,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_getOrderById_END,getOrderById,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_createOrder_END,createOrder,5,medium,18,12,12,0,4,2,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_searchOrders_END,searchOrders,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_searchOrdersAdvanced_END,searchOrdersAdvanced,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_validateOrderResult_END,validateOrderResult,15,high,69,13,13,0,26,30,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_cancelOrder_END,cancelOrder,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_updateOrder_END,updateOrder,7,medium,27,22,22,0,5,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_getPatientById_END,getPatientById,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_listPatients_END,listPatients,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_createPatient_END,createPatient,4,low,17,13,13,0,4,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_updatePatient_END,updatePatient,10,medium,43,15,15,0,22,6,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_findByCpfOrFail_END,findByCpfOrFail,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_createResult_END,createResult,5,medium,6,1,1,0,0,5,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_searchResults_END,searchResults,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_getResultById_END,getResultById,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_buildResultReport_END,buildResultReport,17,high,77,38,38,0,25,14,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_updateResult_END,updateResult,26,high,118,58,58,0,55,5,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_createEncounter_END,createEncounter,5,medium,17,8,8,0,5,4,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_validateEncounterFields_END,validateEncounterFields,11,high,39,37,24,13,2,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_listEncountersByPatient_END,listEncountersByPatient,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_7b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_getEncounterById_END,getEncounterById,2,low,6,5,5,0,0,0,0,0,0
