run_id,model,strategy,module,source_file,test_output_file,mutants_total,mutants_killed,mutants_survived,mutants_timeout,mutants_no_coverage,mutants_compile_error,mutation_score
run-20260901T031236.570959Z,qwen_4b,structured,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,71,22,0,35,0,76.34
run-20260901T031236.570959Z,qwen_4b,structured,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,26,45,0,2,0,36.62
run-20260901T031236.570959Z,qwen_4b,structured,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,64,66,0,78,0,49.23
run-20260901T031236.570959Z,falcon_7b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,106,49,0,205,0,68.39
run-20260901T031236.570959Z,falcon_7b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,18,11,0,99,0,62.07
run-20260901T031236.570959Z,falcon_7b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,35,25,0,13,0,58.33
run-20260901T031236.570959Z,falcon_7b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,58,74,0,76,0,43.94
run-20260901T031236.570959Z,falcon_7b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,5,1,0,354,0,83.33
run-20260901T031236.570959Z,falcon_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,30,8,0,90,0,78.95
run-20260901T031236.570959Z,falcon_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,6,1,0,66,0,85.71
run-20260901T031236.570959Z,falcon_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,86,35,0,87,0,71.07
run-20260901T031236.570959Z,falcon_7b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,85,47,0,228,0,64.39
run-20260901T031236.570959Z,falcon_7b,structured,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,20,13,0,95,0,60.61
run-20260901T031236.570959Z,falcon_7b,structured,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,10,2,0,61,0,83.33
run-20260901T031236.570959Z,falcon_7b,structured,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,42,46,0,120,0,47.73
