run_id,model,strategy,module,function,fn_id,source_file,test_output_file,ccm,range,line_start,line_end,source_hash,duration_ns,tokens,generation_success,jest_success,runtime_repairs,repair_tokens,repair_success_count,repair_fail_count,requires_typescript_repair,analysis_eligible,execution_status,artifact_disposition,total_tests,passed_tests,failed_tests,pending_tests,fn_statements_total,fn_statements_covered,fn_statements_pct,fn_branches_total,fn_branches_covered,fn_branches_pct,fn_functions_total,fn_functions_covered,fn_functions_pct,error
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,getPatientById,FN_getPatientById_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,2,low,15,21,0ddb42a2,6267773100,965,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,listPatients,FN_listPatients_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,1,low,23,25,0ddb42a2,7764203000,996,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,createPatient,FN_createPatient_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,4,low,27,51,0ddb42a2,16251293100,1552,True,True,2.0,2737.0,2.0,0.0,False,True,jest_success,accepted,3.0,2.0,0.0,1.0,11.0,9.0,81.82,6.0,4.0,66.67,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,updatePatient,FN_updatePatient_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,10,medium,53,75,0ddb42a2,14532880600,1492,True,True,1.0,1186.0,1.0,0.0,False,True,jest_success,accepted,3.0,2.0,0.0,1.0,7.0,6.0,85.71,18.0,16.0,88.89,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,findByCpfOrFail,FN_findByCpfOrFail_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,2,low,77,83,0ddb42a2,10914107200,1165,True,True,1.0,576.0,1.0,0.0,False,True,jest_success,accepted,2.0,1.0,0.0,1.0,4.0,3.0,75.0,2.0,1.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,createResult,FN_createResult_END,src/result/result.service.ts,src/result/result.service.spec.ts,5,medium,26,39,357b6b51,13428247700,1559,True,True,3.0,2262.0,3.0,1.0,False,True,jest_success,accepted,3.0,1.0,0.0,2.0,3.0,3.0,100.0,8.0,8.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,searchResults,FN_searchResults_END,src/result/result.service.ts,src/result/result.service.spec.ts,1,low,41,43,357b6b51,6111229700,1205,True,True,1.0,1400.0,2.0,0.0,False,True,jest_success,accepted,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,getResultById,FN_getResultById_END,src/result/result.service.ts,src/result/result.service.spec.ts,2,low,45,51,357b6b51,6642614900,1174,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,buildResultReport,FN_buildResultReport_END,src/result/result.service.ts,src/result/result.service.spec.ts,17,high,53,124,357b6b51,14993960300,2070,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,updateResult,FN_updateResult_END,src/result/result.service.ts,src/result/result.service.spec.ts,26,high,126,206,357b6b51,24044297200,2435,True,True,2.0,11831.0,9.0,0.0,False,True,jest_success,accepted,8.0,0.0,0.0,8.0,22.0,0.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,
