model,strategy,observations_attempted,raw_jest_success_rate,fully_skipped_count,verified_eligible_count,verified_success_rate,functions_evaluated,generation_success_rate,mean_total_tests,median_total_tests,mean_passed_tests,mean_failed_tests,mean_function_coverage,median_function_coverage,mean_statement_coverage,mean_branch_coverage
gemma_4,few_shot,25,100.0,0,25,100.0,25,100.0,4.2,3.0,3.56,0.0,100.0,100.0,94.75,67.66
gemma_4,structured,25,92.0,1,22,88.0,22,96.0,4.64,3.0,4.27,0.0,100.0,100.0,96.06,70.76
gemma_4,zero_shot,25,88.0,7,15,60.0,15,96.0,2.73,2.0,2.4,0.0,96.67,100.0,92.91,63.0
qwen_coder_3b,few_shot,25,88.0,2,20,80.0,20,92.0,3.5,2.0,2.3,0.0,100.0,100.0,82.88,52.8
qwen_coder_3b,structured,25,88.0,4,18,72.0,18,100.0,4.17,3.5,2.89,0.0,100.0,100.0,79.79,45.25
qwen_coder_3b,zero_shot,25,60.0,7,8,32.0,8,100.0,4.5,3.5,1.75,0.0,91.67,100.0,80.59,34.93
qwen_coder_7b,few_shot,25,96.0,0,24,96.0,24,100.0,3.83,2.5,2.96,0.0,95.14,100.0,79.7,54.48
qwen_coder_7b,structured,25,96.0,1,23,92.0,23,100.0,4.13,2.0,3.3,0.0,97.1,100.0,91.96,65.68
qwen_coder_7b,zero_shot,25,96.0,0,24,96.0,24,100.0,4.12,3.0,2.92,0.0,93.06,100.0,83.6,57.23
